Item,Tool,Year,Count,Trial
What tool would you use to answer this question?,Excel,2020,15,Pre-Bootcamp
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",2020,11,Pre-Bootcamp
What tool would you use to answer this question?,Bash/Shell,2020,2,Pre-Bootcamp
What tool would you use to answer this question?,Other (please list),2020,1,Pre-Bootcamp
What tool would you use to answer this question?,Excel,2020,4,Post-Bootcamp
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",2020,21,Post-Bootcamp
What tool would you use to answer this question?,Bash/Shell,2020,5,Post-Bootcamp
What tool would you use to answer this question?,Other (please list),2020,2,Post-Bootcamp
What tool would you use to answer this question?,Excel,2021,18,Pre-Bootcamp
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",2021,15,Pre-Bootcamp
What tool would you use to answer this question?,Bash/Shell,2021,0,Pre-Bootcamp
What tool would you use to answer this question?,Other (please list),2021,1,Pre-Bootcamp
What tool would you use to answer this question?,Excel,2021,4,Post-Bootcamp
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",2021,22,Post-Bootcamp
What tool would you use to answer this question?,Bash/Shell,2021,5,Post-Bootcamp
What tool would you use to answer this question?,Other (please list),2021,1,Post-Bootcamp
What tool would you use to answer this question?,Excel,2022,16,Pre-Bootcamp
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",2022,8,Pre-Bootcamp
What tool would you use to answer this question?,Bash/Shell,2022,0,Pre-Bootcamp
What tool would you use to answer this question?,Other (please list),2022,2,Pre-Bootcamp
What tool would you use to answer this question?,Excel,2022,6,Post-Bootcamp
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",2022,17,Post-Bootcamp
What tool would you use to answer this question?,Bash/Shell,2022,10,Post-Bootcamp
What tool would you use to answer this question?,Other (please list),2022,3,Post-Bootcamp
What tool would you use to answer this question?,Excel,2023,3,Post-Bootcamp
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",2023,7,Post-Bootcamp
What tool would you use to answer this question?,Bash/Shell,2023,2,Post-Bootcamp
What tool would you use to answer this question?,Other (please list),2023,0,Post-Bootcamp
What tool would you use to answer this question?,Excel,2023,11,Pre-Bootcamp
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",2023,13,Pre-Bootcamp
What tool would you use to answer this question?,Bash/Shell,2023,0,Pre-Bootcamp
What tool would you use to answer this question?,Other (please list),2023,1,Pre-Bootcamp
